Player ID,Name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,cost,Position,Team,Power ranking,Saves
1,Granit Xhaka,7,8,2992,35,673.3,647,498,182,13,0,4,48,MID,Arsenal,94.6,
2,Mohamed Elneny,0,0,111,2,5.4,4.6,0,1.1,0,0,0,41,MID,Arsenal,94.6,
3,Rob Holding,1,0,562,13,10.3,152,54,21.6,0,0,0,42,DEF,Arsenal,94.6,
4,Thomas Partey,3,0,2480,28,439.6,513.2,240,119.5,11,0,5,47,MID,Arsenal,94.6,
5,Martin Ødegaard,15,8,3132,38,1100.4,960,920,298.3,13,0,4,69,MID,Arsenal,94.6,
6,Kieran Tierney,0,1,774,10,85.5,144,67,29.9,1,0,0,46,DEF,Arsenal,94.6,
7,Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,53,MID,Arsenal,94.6,
8,Benjamin White,2,5,3054,35,491.2,649,159,130,15,0,5,50,DEF,Arsenal,94.6,
9,Eddie Nketiah,4,2,1071,16,128.2,213.4,598,93.1,2,0,3,63,FWD,Arsenal,94.6,
10,Emile Smith Rowe,0,2,161,5,64.3,36.6,39,13.8,0,0,0,56,MID,Arsenal,94.6,
11,Bukayo Saka,14,12,3183,42,1091.8,972.2,1164,322.8,12,0,6,80,MID,Arsenal,94.6,
12,Takehiro Tomiyasu,0,1,651,11,86.6,137,55,27.7,2,0,2,42,DEF,Arsenal,94.6,
13,Aaron Ramsdale,0,0,3420,43,0,761.4,0,76.2,14,0,1,48,GK,Arsenal,94.6,94
14,Gabriel dos Santos Magalhães,3,0,3409,43,129.7,733.8,401,126.5,14,0,5,52,DEF,Arsenal,94.6,
15,Nuno Varela Tavares,0,0,0,0,0,0,0,0,0,0,0,45,DEF,Arsenal,94.6,
16,Gabriel Martinelli Silva,15,9,2789,33,838.1,844.2,1300,298.1,14,0,3,65,MID,Arsenal,94.6,
17,Pablo Marí Villar,0,0,0,0,0,0,0,0,0,0,0,45,DEF,Arsenal,94.6,
18,Lucas Torreira di Pascua,0,0,0,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
19,Reiss Nelson,3,3,202,3,99.2,169.8,155,42.4,1,0,0,47,MID,Arsenal,94.6,
20,Matt Turner,0,0,0,0,0,0,0,0,0,0,0,38,GK,Arsenal,94.6,0
21,Fábio Ferreira Vieira,1,2,500,5,180.1,115.2,123,41.4,2,0,0,56,MID,Arsenal,94.6,
22,William Saliba,2,1,2415,25,100.8,529,114,74.5,12,0,4,49,DEF,Arsenal,94.6,
23,Marcus Oliveira Alencar,0,0,1,0,0.2,0,0,0,0,0,0,46,MID,Arsenal,94.6,
24,Gabriel Fernando de Jesus,11,7,2064,23,407.3,594.2,1282,228.3,9,0,6,81,FWD,Arsenal,94.6,
25,Leandro Trossard,8,13,2237,38,687.1,620,859,216.6,8,0,1,66,MID,Arsenal,94.6,
26,Jorge Luiz Frello Filho,2,2,2127,23,254.1,386.4,97,73.9,9,0,4,57,MID,Arsenal,94.6,
27,Oleksandr Zinchenko,1,2,2122,28,387.7,405,190,98.3,10,0,3,50,DEF,Arsenal,94.6,
28,Matthew Smith,0,0,0,0,0,0,0,0,0,0,0,44,MID,Arsenal,94.6,
29,Ethan Nwaneri,0,0,1,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
30,Lino Sousa,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Arsenal,94.6,
31,Karl Hein,0,0,0,0,0,0,0,0,0,0,0,39,GK,Arsenal,94.6,0
32,Amario Cozier-Duberry,0,0,0,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
33,Nathan Butler-Oyedeji,0,0,0,0,0,0,0,0,0,0,0,45,FWD,Arsenal,94.6,
34,Jakub Kiwior,1,0,425,6,4.1,53.6,4,6.3,2,0,0,40,DEF,Arsenal,94.6,
35,Reuell Walters,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Arsenal,94.6,
36,Mauro Bandeira,0,0,0,0,0,0,0,0,0,0,0,45,MID,Arsenal,94.6,
37,Philippe Coutinho Correia,1,0,777,9,152.5,119.2,218,48.8,3,0,3,66,MID,Aston Villa,90.3,
38,Emiliano Martínez Romero,0,0,3139,38,23,813,0,83.5,11,0,7,50,GK,Aston Villa,90.3,97
39,Calum Chambers,0,0,345,4,29.8,74.4,8,11.1,0,0,2,42,DEF,Aston Villa,90.3,
40,Lucas Digne,1,0,1492,25,293.3,271.4,92,65.8,3,0,5,45,DEF,Aston Villa,90.3,
41,Bertrand Traoré,2,0,226,1,30.7,82,79,19,1,0,1,49,MID,Aston Villa,90.3,
42,Robin Olsen,0,0,280,8,0,83.2,0,8.2,1,0,0,39,GK,Aston Villa,90.3,11
43,Morgan Sanson,0,0,10,1,0.5,4.2,0,0.4,0,0,0,43,MID,Aston Villa,90.3,
44,John McGinn,1,5,2692,31,349.2,375,326,105.1,10,0,7,51,MID,Aston Villa,90.3,
45,Kortney Hause,0,0,0,0,0,0,0,0,0,0,0,44,DEF,Aston Villa,90.3,
46,Tyrone Mings,1,3,3150,40,87.7,657.2,121,87,12,0,7,47,DEF,Aston Villa,90.3,
47,Ollie Watkins,15,8,3129,40,408.5,792,1268,247,13,0,4,73,FWD,Aston Villa,90.3,
48,Marvelous Nakamba,0,0,0,0,0,0,0,0,0,0,0,43,MID,Aston Villa,90.3,
49,Emiliano Buendía Stati,5,3,2404,34,546.3,438.2,580,156.6,11,0,0,57,MID,Aston Villa,90.3,
50,Matty Cash,0,2,1817,29,178,298.4,67,54.4,4,0,4,46,DEF,Aston Villa,90.3,
51,Ezri Konsa Ngoyo,0,0,3322,45,116.1,560.4,72,74.9,12,0,6,44,DEF,Aston Villa,90.3,
52,Leon Bailey,4,5,1964,32,439.1,334.2,532,130.1,8,0,4,43,MID,Aston Villa,90.3,
53,Douglas Luiz Soares de Paulo,6,7,2922,35,655.4,661.6,242,155.8,13,1,6,48,MID,Aston Villa,90.3,
54,Jacob Ramsey,6,8,2634,33,496.7,607.2,424,152.8,11,0,5,51,MID,Aston Villa,90.3,
55,Tim Iroegbunam,0,0,0,0,0,0,0,0,0,0,0,45,MID,Aston Villa,90.3,
56,Diego Carlos Santos Silva,0,0,205,3,13.2,24.8,32,7,0,0,0,47,DEF,Aston Villa,90.3,
57,Anwar El Ghazi,0,0,0,0,0,0,0,0,0,0,0,48,MID,Aston Villa,90.3,
58,Keinan Davis,0,0,0,0,0,0,0,0,0,0,0,54,FWD,Aston Villa,90.3,
59,Boubacar Kamara,0,1,1773,30,123.4,275.8,39,43.9,3,0,4,48,MID,Aston Villa,90.3,
60,Cameron Archer,0,0,43,1,2.4,1.8,6,0.9,0,0,0,42,FWD,Aston Villa,90.3,
61,Jaden Philogene-Bidace,0,0,0,0,0,0,0,0,0,0,0,45,MID,Aston Villa,90.3,
62,Frédéric Guilbert,0,0,0,0,0,0,0,0,0,0,0,39,DEF,Aston Villa,90.3,
63,Leander Dendoncker,0,0,897,14,96.1,143.4,64,30.6,4,0,0,47,MID,Aston Villa,90.3,
64,Ludwig Augustinsson,0,0,76,0,1.9,5.6,35,4.2,0,0,1,43,DEF,Aston Villa,90.3,
65,Kaine Kesler Hayden,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Aston Villa,90.3,
66,Ashley Young,1,0,2031,28,223.4,380.2,81,68.7,9,0,7,43,DEF,Aston Villa,90.3,
67,Lamare Bogarde,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Aston Villa,90.3,
68,Filip Marschall,0,0,0,0,0,0,0,0,0,0,0,40,GK,Aston Villa,90.3,0
69,Kadan Young,0,0,0,0,0,0,0,0,0,0,0,45,MID,Aston Villa,90.3,
70,Alexandre Moreno Lopera,0,3,1325,10,321.1,254.4,151,72.3,7,0,3,45,DEF,Aston Villa,90.3,
71,Viljami Sinisalo,0,0,0,0,0,0,0,0,0,0,0,40,GK,Aston Villa,90.3,0
72,Jhon Durán,0,0,126,4,13.4,12.8,51,7.4,0,0,1,55,FWD,Aston Villa,90.3,
73,Sil Swinkels,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Aston Villa,90.3,
74,Oliwier Zych,0,0,0,0,0,0,0,0,0,0,0,40,GK,Aston Villa,90.3,0
75,James Wright,0,0,0,0,0,0,0,0,0,0,0,40,GK,Aston Villa,90.3,0
76,Sebastian Revan,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Aston Villa,90.3,
77,Travis Patterson,0,0,0,0,0,0,0,0,0,0,0,45,MID,Aston Villa,90.3,
78,Tommi O'Reilly,0,0,0,0,0,0,0,0,0,0,0,45,MID,Aston Villa,90.3,
79,Adam Smith,0,1,2940,58,261.6,406.2,88,75.7,7,0,11,43,DEF,Bournemouth,85.1,
80,Junior Stanislas,0,0,58,1,22.9,10,7,3.9,0,0,0,48,MID,Bournemouth,85.1,
81,Ryan Fredericks,0,0,527,11,26.7,66,12,10.6,0,0,1,44,DEF,Bournemouth,85.1,
82,David Brooks,0,0,170,4,16.4,13.6,31,6,0,0,1,53,MID,Bournemouth,85.1,
83,Jamal Lowe,0,0,11,0,0.3,0.2,0,0.1,0,0,0,52,MID,Bournemouth,85.1,
84,Kieffer Moore,4,0,1269,34,89.6,216.2,272,57.3,3,0,1,49,FWD,Bournemouth,85.1,
85,Emiliano Marcondes,0,0,8,1,0,1.2,0,0.1,0,0,0,47,MID,Bournemouth,85.1,
86,Jefferson Lerma Solís,5,0,3252,67,293.6,616.6,311,122.1,7,0,7,47,MID,Bournemouth,85.1,
87,Jack Stacey,0,0,293,10,8.6,44.2,8,6,0,0,2,42,DEF,Bournemouth,85.1,
88,Dominic Solanke,6,10,2865,52,279.9,524.8,1046,184.4,8,0,2,56,FWD,Bournemouth,85.1,
89,Lewis Cook,0,2,1712,39,352.5,313,45,71.2,3,0,4,49,MID,Bournemouth,85.1,
90,Ben Pearson,0,0,282,10,6.4,21,9,3.7,1,0,1,44,MID,Bournemouth,85.1,
91,Ryan Christie,1,2,1825,35,421.7,282,400,110.5,3,0,2,53,MID,Bournemouth,85.1,
92,Philip Billing,7,2,2766,54,388.8,622,441,145.2,9,0,5,50,MID,Bournemouth,85.1,
93,Chris Mepham,0,0,2197,52,54.4,556.4,134,74.4,5,0,7,43,DEF,Bournemouth,85.1,
94,Mark Travers,0,0,1035,32,0,253,0,25.4,2,0,0,41,GK,Bournemouth,85.1,36
95,Lloyd Kelly,0,2,2040,38,97.7,394,26,52.1,5,0,3,43,DEF,Bournemouth,85.1,
96,Siriki Dembélé,0,0,104,2,52.3,31.8,28,11.3,0,0,0,47,MID,Bournemouth,85.1,
97,Jaidon Anthony,3,1,1241,29,209.1,299.4,263,77.2,2,0,2,52,MID,Bournemouth,85.1,
98,Jordan Zemura,0,1,1452,31,232.8,269.4,71,57.1,5,0,1,42,DEF,Bournemouth,85.1,
99,Will Dennis,0,0,0,0,0,0,0,0,0,0,0,39,GK,Bournemouth,85.1,0
100,Jack Stephens,0,0,1218,24,57.3,270,51,38,4,0,3,43,DEF,Bournemouth,85.1,
101,Joe Rothwell,0,1,1010,15,153.3,127.4,27,30.6,3,0,1,49,MID,Bournemouth,85.1,
102,Marcus Tavernier,5,4,1740,37,348.4,459.8,436,124.2,5,0,1,47,MID,Bournemouth,85.1,
103,James Hill,0,0,0,0,0,0,0,0,0,0,0,44,DEF,Bournemouth,85.1,
104,Darren Randolph,0,0,0,0,0,0,0,0,0,0,0,40,GK,Bournemouth,85.1,0
105,Norberto Murara Neto,0,0,2385,39,0,727.6,0,72.8,6,0,4,45,GK,Bournemouth,85.1,100
106,Marcos Senesi,2,0,2489,55,78.7,586,109,77.5,5,0,7,44,DEF,Bournemouth,85.1,
107,Christian Saydee,0,0,0,0,0,0,0,0,0,0,0,45,FWD,Bournemouth,85.1,
108,Owen Bevan,0,0,8,1,0,0.2,0,0,0,0,0,40,DEF,Bournemouth,85.1,
109,Cameron Plain,0,0,0,0,0,0,0,0,0,0,0,40,GK,Bournemouth,85.1,0
110,Daniel Adu-Adjei,0,0,0,0,0,0,0,0,0,0,0,45,FWD,Bournemouth,85.1,
111,Michael Dacosta Gonzalez,0,0,0,0,0,0,0,0,0,0,0,44,MID,Bournemouth,85.1,
112,Dominic Sadi,0,0,0,0,0,0,0,0,0,0,0,45,FWD,Bournemouth,85.1,
113,Dango Ouattara,1,3,1239,23,261,276.8,274,81,1,0,1,50,MID,Bournemouth,85.1,
114,Euan Pollock,0,0,0,0,0,0,0,0,0,0,0,45,FWD,Bournemouth,85.1,
115,Antoine Semenyo,1,0,250,6,26.5,50,32,10.7,0,0,0,50,FWD,Bournemouth,85.1,
116,Matías Viña,2,0,452,10,28.1,156.4,92,27.7,1,0,1,45,DEF,Bournemouth,85.1,
117,Illia Zabarnyi,0,0,297,5,0.9,41.2,0,4.1,0,0,0,45,DEF,Bournemouth,85.1,
118,Hamed Traorè,0,0,425,8,218.5,84,36,33.8,2,0,0,45,MID,Bournemouth,85.1,
119,Ben Greenwood,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Bournemouth,85.1,
120,Max Kinsey-Wellings,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Bournemouth,85.1,
121,Pontus Jansson,1,0,722,14,2.5,176.2,53,23.4,2,0,0,42,DEF,Brentford,85.4,
122,Christian Nørgaard,1,6,1763,23,173.7,379.2,269,82.3,6,0,6,53,MID,Brentford,85.4,
123,Ivan Toney,20,4,2953,42,424.3,926.8,1240,258.7,10,0,9,71,FWD,Brentford,85.4,
124,David Raya Martin,0,0,3420,46,20.1,1125.4,4,115.2,12,0,1,48,GK,Brentford,85.4,154
125,Sergi Canós Tenés,0,0,73,2,13.5,7,6,2.8,0,0,0,50,DEF,Brentford,85.4,
126,Josh Dasilva,4,2,1371,17,206.1,304.2,182,69.2,5,0,1,41,MID,Brentford,85.4,
127,Kristoffer Ajer,0,0,763,14,24.7,96.8,27,15.1,4,0,0,45,DEF,Brentford,85.4,
128,Rico Henry,0,3,3240,46,401.9,444.4,197,104.5,11,0,4,44,DEF,Brentford,85.4,
129,Vitaly Janelt,3,1,2201,28,246.1,411.2,223,88.1,8,0,3,55,MID,Brentford,85.4,
130,Saman Ghoddos,0,0,124,5,62.8,27.2,21,11.1,0,0,0,48,MID,Brentford,85.4,
131,Mathias Jensen,5,7,2805,40,787.9,644,208,164.1,10,0,5,48,MID,Brentford,85.4,
132,Yoane Wissa,7,4,1587,17,184.5,363.8,414,95.5,7,0,3,53,MID,Brentford,85.4,
133,Mads Roerslev Rasmussen,0,0,1101,12,120.6,167.6,46,33.4,5,0,0,43,DEF,Brentford,85.4,
134,Mads Bech Sørensen,0,0,18,0,0.2,2.6,0,0.2,0,0,0,45,DEF,Brentford,85.4,
135,Ethan Pinnock,3,0,2700,34,104.9,751.6,279,113.8,10,0,0,44,DEF,Brentford,85.4,
136,Frank Onyeka,0,3,837,11,89.9,125.8,106,32.3,3,0,0,48,MID,Brentford,85.4,
137,Shandon Baptiste,0,2,600,6,144.5,107.8,54,30.7,1,1,1,45,MID,Brentford,85.4,
138,Bryan Mbeumo,9,9,2905,39,766.3,662.4,866,229.3,10,0,5,57,FWD,Brentford,85.4,
139,Charlie Goode,0,0,0,0,0,0,0,0,0,0,0,39,DEF,Brentford,85.4,
140,Marcus Forss,0,0,0,0,0,0,0,0,0,0,0,45,FWD,Brentford,85.4,
141,Dominic Thompson,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brentford,85.4,
142,Mads Bidstrup,0,0,0,0,0,0,0,0,0,0,0,45,MID,Brentford,85.4,
143,Ellery Balcombe,0,0,0,0,0,0,0,0,0,0,0,40,GK,Brentford,85.4,0
144,Aaron Hickey,0,3,1918,30,119.8,223.6,98,44.2,5,0,7,49,DEF,Brentford,85.4,
145,Keane Lewis-Potter,0,1,313,4,64,42,114,21.9,0,0,0,52,MID,Brentford,85.4,
146,Thomas Strakosha,0,0,0,0,0,0,0,0,0,0,0,43,GK,Brentford,85.4,0
147,Ben Mee,3,2,3269,40,92,761.4,307,116.3,12,0,2,48,DEF,Brentford,85.4,
148,Fin Stevens,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brentford,85.4,
149,Halil Dervişoğlu,0,1,6,0,0,0,10,1,0,0,0,45,FWD,Brentford,85.4,
150,Mikkel Damsgaard,0,0,970,14,161,137.4,146,44.5,3,0,4,50,MID,Brentford,85.4,
151,Mathias Jorgensen,0,1,1097,15,18.2,189.8,45,25.6,4,0,2,39,DEF,Brentford,85.4,
152,Ryan Trevitt,0,0,0,0,0,0,0,0,0,0,0,44,MID,Brentford,85.4,
153,Matthew Cox,0,0,0,0,0,0,0,0,0,0,0,39,GK,Brentford,85.4,0
154,Tristan Crama,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brentford,85.4,
155,Yegor Yarmolyuk,0,0,0,0,0,0,0,0,0,0,0,45,MID,Brentford,85.4,
156,Kevin Schade,0,1,723,7,110.4,72.2,205,38.7,3,0,2,49,MID,Brentford,85.4,
157,Michael Olakigbe,0,0,0,0,0,0,0,0,0,0,0,45,MID,Brentford,85.4,
158,Adam Lallana,2,1,717,10,186.7,144.2,152,48.5,5,0,0,48,MID,Brighton,87.9,
159,Jason Steele,0,1,1350,23,13,347.6,0,36.1,6,0,1,40,GK,Brighton,87.9,36
160,Danny Welbeck,6,5,1844,28,390.6,378.2,782,155.4,6,0,0,65,FWD,Brighton,87.9,
161,Pascal Groß,9,8,3240,51,1215.4,888.4,578,268.6,11,0,7,54,MID,Brighton,87.9,
162,Lewis Dunk,1,1,3240,50,163.6,661.4,198,102.4,12,0,4,48,DEF,Brighton,87.9,
163,Solly March,6,10,2719,40,965.8,791.8,955,271.4,10,0,2,52,MID,Brighton,87.9,
164,Adam Webster,0,0,1983,27,104,354,126,58.4,9,0,2,45,DEF,Brighton,87.9,
165,Joël Veltman,1,1,2183,29,200.8,406.2,162,77.2,10,0,6,46,DEF,Brighton,87.9,
166,Robert Sánchez,0,0,2070,30,0.1,439,0,43.9,6,0,2,44,GK,Brighton,87.9,46
167,Tariq Lamptey,0,0,439,7,87.2,70.6,48,20.6,1,0,1,42,DEF,Brighton,87.9,
168,Steven Alzate,0,0,0,0,0,0,0,0,0,0,0,44,MID,Brighton,87.9,
169,Alexis Mac Allister,10,2,2882,45,729.6,741,706,217.8,10,0,8,56,MID,Brighton,87.9,
170,Jakub Moder,0,0,0,0,0,0,0,0,0,0,0,44,MID,Brighton,87.9,
171,Enock Mwepu,0,1,209,4,39,48.8,34,12.2,0,0,0,53,MID,Brighton,87.9,
172,Jeremy Sarmiento Morante,0,2,168,2,38.2,46.6,50,12.9,1,0,1,45,MID,Brighton,87.9,
173,Moisés Caicedo Corozo,1,1,3138,47,668.6,582.2,210,146.3,10,0,10,50,MID,Brighton,87.9,
174,Taylor Richards,0,0,0,0,0,0,0,0,0,0,0,45,MID,Brighton,87.9,
175,Haydon Roberts,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brighton,87.9,
176,Deniz Undav,5,2,614,9,105.7,157.6,333,59.5,2,0,2,50,FWD,Brighton,87.9,
177,Kaoru Mitoma,7,9,2311,35,567.6,566.8,857,198.9,8,0,0,57,MID,Brighton,87.9,
178,Julio Enciso,4,3,794,12,161,255.8,370,78.5,4,0,1,46,FWD,Brighton,87.9,
179,Kacper Kozłowski,0,0,0,0,0,0,0,0,0,0,0,45,MID,Brighton,87.9,
180,Billy Gilmour,0,1,502,8,56.5,67.6,33,15.8,2,0,1,42,MID,Brighton,87.9,
181,Kjell Scherpen,0,0,0,0,0,0,0,0,0,0,0,40,GK,Brighton,87.9,0
182,Matt Clarke,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brighton,87.9,
183,Jan Paul van Hecke,0,0,291,7,5.5,62.8,10,7.9,0,0,2,40,DEF,Brighton,87.9,
184,Levi Colwill,0,2,1218,21,100.7,222,50,37.4,3,0,1,44,DEF,Brighton,87.9,
185,Pervis Estupiñán,1,7,2674,43,752.9,570.2,295,161.3,10,0,4,50,DEF,Brighton,87.9,
186,Evan Ferguson,6,2,942,12,129.1,284.2,350,76.5,6,0,1,46,FWD,Brighton,87.9,
187,Ed Turns,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brighton,87.9,
188,Andrew Moran,0,0,11,1,0,0,0,0,0,0,0,45,MID,Brighton,87.9,
189,James Furlong,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brighton,87.9,
190,Jack Hinshelwood,0,0,1,0,0,0,0,0,0,0,0,45,MID,Brighton,87.9,
191,Facundo Buonanotte,1,1,558,12,96.1,87.8,102,27.8,1,0,2,45,MID,Brighton,87.9,
192,Yasin Ayari,0,0,65,2,25.3,5.4,3,3.3,0,0,0,45,MID,Brighton,87.9,
193,Odeluga Offiah,0,0,23,3,1.5,6.2,0,0.8,0,0,0,40,DEF,Brighton,87.9,
194,Tom McGill,0,0,0,0,0,0,0,0,0,0,0,40,GK,Brighton,87.9,0
195,Cameron Peupion,0,0,5,2,0.3,0,5,0.5,0,0,0,45,MID,Brighton,87.9,
196,Imari Samuels,0,0,0,0,0,0,0,0,0,0,0,40,DEF,Brighton,87.9,
